serial number,comment,demojized_comment,cleaned_comment,lemmatized_tokens
73,Best Scientific content creator award goes to simplilearn.,Best Scientific content creator award goes to simplilearn.,best scientific content creator award goes to simplilearn,"['good', 'scientific', 'content', 'creator', 'award', 'go', 'simplilearn']"
74,"thanks for the crystal clear explanation on what hadoop is , coming to the answer of question is c) ensure fault tolerance","thanks for the crystal clear explanation on what hadoop is , coming to the answer of question is c) ensure fault tolerance",thanks for the crystal clear explanation on what hadoop is coming to the answer of question is c ensure fault tolerance,"['thank', 'crystal', 'clear', 'explanation', 'hadoop', 'come', 'answer', 'question', 'c', 'ensure', 'fault', 'tolerance']"
75,This video clarifies the Hadoop concept very well.,This video clarifies the Hadoop concept very well.,this video clarifies the hadoop concept very well,"['video', 'clarifie', 'hadoop', 'concept', 'well']"
76,I never knew Hadoop is a storage unit. Thanking you Genius,I never knew Hadoop is a storage unit. Thanking you Genius,i never knew hadoop is a storage unit thanking you genius,"['never', 'know', 'hadoop', 'storage', 'unit', 'thank', 'genius']"
77,"Great video
Answer is 
Option 3: To ensure faltu tolerant","Great video
Answer is 
Option 3: To ensure faltu tolerant",great video answer is option : to ensure faltu tolerant,"['great', 'video', 'answer', 'option', ':', 'ensure', 'faltu', 'tolerant']"
78,A clear cut video to understand Hadoop components. Thanks a lot.,A clear cut video to understand Hadoop components. Thanks a lot.,a clear cut video to understand hadoop components thanks a lot,"['clear', 'cut', 'video', 'understand', 'hadoop', 'component', 'thank', 'lot']"
79,"wow, this is first time learning about Big Data and how Hadoop works. thank you so much for the explanation. quite excited to give it a try. 
the answer is C: Ensure Fault tolerance. like High Availability in Cloud services terms.","wow, this is first time learning about Big Data and how Hadoop works. thank you so much for the explanation. quite excited to give it a try. 
the answer is C: Ensure Fault tolerance. like High Availability in Cloud services terms.",wow this is first time learning about big data and how hadoop works thank you so much for the explanation quite excited to give it a try the answer is c: ensure fault tolerance like high availability in cloud services terms,"['wow', 'first', 'time', 'learn', 'big', 'datum', 'hadoop', 'work', 'thank', 'much', 'explanation', 'quite', 'excited', 'give', 'try', 'answer', 'c', ':', 'ensure', 'fault', 'tolerance', 'like', 'high', 'availability', 'cloud', 'service', 'term']"
80,"My Answer to Quiz is C. select C because it can split lots of multiple blocks to compute. and they can copy all data from other blocks, so whichever one or more are broken, the data is not lost.","My Answer to Quiz is C. select C because it can split lots of multiple blocks to compute. and they can copy all data from other blocks, so whichever one or more are broken, the data is not lost.",my answer to quiz is c select c because it can split lots of multiple blocks to compute and they can copy all data from other blocks so whichever one or more are broken the data is not lost,"['answer', 'quiz', 'c', 'select', 'c', 'split', 'lot', 'multiple', 'block', 'compute', 'copy', 'datum', 'block', 'whichever', 'one', 'broken', 'datum', 'lose']"
81,Amazing Video!! Really Helpful :D,Amazing Video!! Really Helpful :D,amazing video really helpful :d,"['amazing', 'video', 'really', 'helpful', ':']"
82,"Answer: C! Great quick intro my first time learning, I've kept hearing about Map Reduce and this really made sense!","Answer: C! Great quick intro my first time learning, I've kept hearing about Map Reduce and this really made sense!",answer: c great quick intro my first time learning ive kept hearing about map reduce and this really made sense,"['answer', ':', 'c', 'great', 'quick', 'intro', 'first', 'time', 'learn', 'I', 've', 'keep', 'hear', 'map', 'reduce', 'really', 'make', 'sense']"
83,"Amazing video. Brilliant explanation. The answer is option C , 3x replication ensures fault tolerance","Amazing video. Brilliant explanation. The answer is option C , 3x replication ensures fault tolerance",amazing video brilliant explanation the answer is option c x replication ensures fault tolerance,"['amazing', 'video', 'brilliant', 'explanation', 'answer', 'option', 'c', 'x', 'replication', 'ensure', 'fault', 'tolerance']"
84,This is too amazing. Very helpful. Explained better than anyone. l love it.,This is too amazing. Very helpful. Explained better than anyone. l love it.,this is too amazing very helpful explained better than anyone l love it,"['amazing', 'helpful', 'explain', 'well', 'anyone', 'l', 'love']"
85,This is superb video I really understood the concept of Hadoop I appreciate the effort of simplicity.,This is superb video I really understood the concept of Hadoop I appreciate the effort of simplicity.,this is superb video i really understood the concept of hadoop i appreciate the effort of simplicity,"['superb', 'video', 'really', 'understand', 'concept', 'hadoop', 'appreciate', 'effort', 'simplicity']"
86,"Just WOW!! 
Thank you!","Just WOW!! 
Thank you!",just wow thank you,"['wow', 'thank']"
87,The answer is C. Great video! Thanks!,The answer is C. Great video! Thanks!,the answer is c great video thanks,"['answer', 'c', 'great', 'video', 'thank']"
88,GREAT SUMMARY!!!!! This is the kind of stuff I was looking for!!! +1 sub!,GREAT SUMMARY!!!!! This is the kind of stuff I was looking for!!! +1 sub!,great summary this is the kind of stuff i was looking for sub,"['great', 'summary', 'kind', 'stuff', 'look', 'sub']"
89,You Guys doing a great Job....excellent explanation.....,You Guys doing a great Job....excellent explanation.....,you guys doing a great jobexcellent explanation,"['guy', 'great', 'jobexcellent', 'explanation']"
90,Easy to learn Your teching skills .... Thanks for your Video.,Easy to learn Your teching skills .... Thanks for your Video.,easy to learn your teching skills thanks for your video,"['easy', 'learn', 'teche', 'skill', 'thank', 'video']"
91,"please create more videos, love this!","please create more videos, love this!",please create more videos love this,"['please', 'create', 'video', 'love']"
92,"C)Ensure fault tolerance. 
As replication is used if any of nodes crashes then the data of that node is stored on various other system so no data is lost.","C)Ensure fault tolerance. 
As replication is used if any of nodes crashes then the data of that node is stored on various other system so no data is lost.",censure fault tolerance as replication is used if any of nodes crashes then the data of that node is stored on various other system so no data is lost,"['censure', 'fault', 'tolerance', 'replication', 'use', 'node', 'crash', 'data', 'node', 'store', 'various', 'system', 'datum', 'lose']"
93,Excellent explanation in such a short clip,Excellent explanation in such a short clip,excellent explanation in such a short clip,"['excellent', 'explanation', 'short', 'clip']"
94,"Thanks a lot , u are better than my professor","Thanks a lot , u are better than my professor",thanks a lot u are better than my professor,"['thank', 'lot', 'u', 'well', 'professor']"
95,Excellent introduction!!!,Excellent introduction!!!,excellent introduction,"['excellent', 'introduction']"
96,"10/10, I say this as a person working with a hadoop cluster of more than 200 nodes","10/10, I say this as a person working with a hadoop cluster of more than 200 nodes",i say this as a person working with a hadoop cluster of more than nodes,"['say', 'person', 'work', 'hadoop', 'cluster', 'node']"
97,There was a lot of information in this video and it was very well presented. 3x replication schema ensures fault tolerance,There was a lot of information in this video and it was very well presented. 3x replication schema ensures fault tolerance,there was a lot of information in this video and it was very well presented x replication schema ensures fault tolerance,"['lot', 'information', 'video', 'well', 'present', 'x', 'replication', 'schema', 'ensure', 'fault', 'tolerance']"
98,Nice content in 06 minutes. Well explained. Thank you!!,Nice content in 06 minutes. Well explained. Thank you!!,nice content in minutes well explained thank you,"['nice', 'content', 'minute', 'well', 'explain', 'thank']"
99,It is one of the most valuable explanation. Just Amazing.,It is one of the most valuable explanation. Just Amazing.,it is one of the most valuable explanation just amazing,"['one', 'valuable', 'explanation', 'amazing']"
100,"amazing content, you guys are the best!!!!!","amazing content, you guys are the best!!!!!",amazing content you guys are the best,"['amazing', 'content', 'guy', 'well']"
101,Thank you. Well explained.,Thank you. Well explained.,thank you well explained,"['thank', 'well', 'explain']"
102,Productive 6 Mins 🙌,Productive 6 Mins  raising_hands ,productive mins raising_hands,"['productive', 'min', 'raising_hand']"
103,Brilliant work! Thank you.,Brilliant work! Thank you.,brilliant work thank you,"['brilliant', 'work', 'thank']"
104,"Awesome videoooo...! 
Ans: C. Fault tolerance","Awesome videoooo...! 
Ans: C. Fault tolerance",awesome videoooo ans: c fault tolerance,"['awesome', 'videoooo', 'ans', ':', 'c', 'fault', 'tolerance']"
105,Thanks u so much for such a simple and amazing video to understand the concept.👏👏👏👏👏,Thanks u so much for such a simple and amazing video to understand the concept. clapping_hands  clapping_hands  clapping_hands  clapping_hands  clapping_hands ,thanks u so much for such a simple and amazing video to understand the concept clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands,"['thank', 'u', 'much', 'simple', 'amazing', 'video', 'understand', 'concept', 'clapping_hand', 'clapping_hands', 'clapping_hand', 'clapping_hand', 'clapping_hand']"
106,so easy explained ty guys,so easy explained ty guys,so easy explained ty guys,"['easy', 'explain', 'ty', 'guy']"
107,"Great video, is a good resume of this technology, and the answer is C) Ensure fault tolerance","Great video, is a good resume of this technology, and the answer is C) Ensure fault tolerance",great video is a good resume of this technology and the answer is c ensure fault tolerance,"['great', 'video', 'good', 'resume', 'technology', 'answer', 'c', 'ensure', 'fault', 'tolerance']"
108,Awesome explanation...thank you !!,Awesome explanation...thank you !!,awesome explanationthank you,"['awesome', 'explanationthank']"
109,Thanks For making this amazing and helpful video.!🙂,Thanks For making this amazing and helpful video.! slightly_smiling_face ,thanks for making this amazing and helpful video slightly_smiling_face,"['thank', 'make', 'amazing', 'helpful', 'video', 'slightly_smiling_face']"
110,Nice explanation. Thank You,Nice explanation. Thank You,nice explanation thank you,"['nice', 'explanation', 'thank']"
111,"thanks a lot for the explanation, through this video i just understand what the big data is and hadoop is! It's so amazing.","thanks a lot for the explanation, through this video i just understand what the big data is and hadoop is! It's so amazing.",thanks a lot for the explanation through this video i just understand what the big data is and hadoop is its so amazing,"['thank', 'lot', 'explanation', 'video', 'understand', 'big', 'data', 'hadoop', 'amazing']"
112,Excellent! Thank you so much.,Excellent! Thank you so much.,excellent thank you so much,"['excellent', 'thank', 'much']"
113,nice presentation easy to understand,nice presentation easy to understand,nice presentation easy to understand,"['nice', 'presentation', 'easy', 'understand']"
114,amazing explanation of the Hadoop concepts.,amazing explanation of the Hadoop concepts.,amazing explanation of the hadoop concepts,"['amazing', 'explanation', 'hadoop', 'concept']"
115,C:) Fault tolerance is the answer.  Thank you tons for the very awesome and informative video on Hadoop!,C:) Fault tolerance is the answer.  Thank you tons for the very awesome and informative video on Hadoop!,c: fault tolerance is the answer thank you tons for the very awesome and informative video on hadoop,"['c', ':', 'fault', 'tolerance', 'answer', 'thank', 'ton', 'awesome', 'informative', 'video', 'hadoop']"
116,Answer is C! Data is available on other nodes even if other nodes are down or crashed,Answer is C! Data is available on other nodes even if other nodes are down or crashed,answer is c data is available on other nodes even if other nodes are down or crashed,"['answer', 'c', 'datum', 'available', 'node', 'even', 'node', 'crash']"
117,The answer is option C and very good explanation sir thank you,The answer is option C and very good explanation sir thank you,the answer is option c and very good explanation sir thank you,"['answer', 'option', 'c', 'good', 'explanation', 'sir', 'thank']"
118,"Very well explained video 💯
Answer of Advantage of 3x replication Schema in HDFS is Option C that is ensure Fault Tolerance.","Very well explained video  hundred_points 
Answer of Advantage of 3x replication Schema in HDFS is Option C that is ensure Fault Tolerance.",very well explained video hundred_points answer of advantage of x replication schema in hdfs is option c that is ensure fault tolerance,"['well', 'explain', 'video', 'hundred_point', 'answer', 'advantage', 'x', 'replication', 'schema', 'hdfs', 'option', 'c', 'ensure', 'fault', 'tolerance']"
119,"thanks for the informative video. in a short video, it explains most of the hadoop components.","thanks for the informative video. in a short video, it explains most of the hadoop components.",thanks for the informative video in a short video it explains most of the hadoop components,"['thank', 'informative', 'video', 'short', 'video', 'explain', 'hadoop', 'component']"
120,Thank you so much 🥰,Thank you so much  smiling_face_with_hearts ,thank you so much smiling_face_with_hearts,"['thank', 'much', 'smiling_face_with_heart']"
121,"Crisp and short video....upto the point🔥
Answer is (C). Ensures fault tolerance","Crisp and short video....upto the point fire 
Answer is (C). Ensures fault tolerance",crisp and short videoupto the point fire answer is c ensures fault tolerance,"['crisp', 'short', 'videoupto', 'point', 'fire', 'answer', 'c', 'ensure', 'fault', 'tolerance']"
122,The advantage of the 3x replication schema in HDFS ---> Option C - Ensure fault tolerance.,The advantage of the 3x replication schema in HDFS ---> Option C - Ensure fault tolerance.,the advantage of the x replication schema in hdfs option c ensure fault tolerance,"['advantage', 'x', 'replication', 'schema', 'hdfs', 'option', 'c', 'ensure', 'fault', 'tolerance']"
123,"THE ANSWER IS C. HDFS IS FAULT-TOLERANCE, IF THE DATANODES CRASHES BECUASE ITS REPLICATICATED IN 3 REPLICATION SCHEMA IN HDFS. No data will be loss, great video.","THE ANSWER IS C. HDFS IS FAULT-TOLERANCE, IF THE DATANODES CRASHES BECUASE ITS REPLICATICATED IN 3 REPLICATION SCHEMA IN HDFS. No data will be loss, great video.",the answer is c hdfs is faulttolerance if the datanodes crashes becuase its replicaticated in replication schema in hdfs no data will be loss great video,"['answer', 'c', 'hdfs', 'faulttolerance', 'datanode', 'crash', 'becuase', 'replicaticate', 'replication', 'schema', 'hdfs', 'datum', 'loss', 'great', 'video']"
124,Totally clear!,Totally clear!,totally clear,"['totally', 'clear']"
125,Thanks for excellent content,Thanks for excellent content,thanks for excellent content,"['thank', 'excellent', 'content']"
126,"Big thank to you.
Amazing video","Big thank to you.
Amazing video",big thank to you amazing video,"['big', 'thank', 'amazing', 'video']"
127,Excellent Videos! Thank you,Excellent Videos! Thank you,excellent videos thank you,"['excellent', 'video', 'thank']"
128,thank you well presented,thank you well presented,thank you well presented,"['thank', 'well', 'present']"
129,c) ensure fault tolerences  thanks for explaination,c) ensure fault tolerences  thanks for explaination,c ensure fault tolerences thanks for explaination,"['c', 'ensure', 'fault', 'tolerence', 'thank', 'explaination']"
130,For last quizI think C is the correct answer. 3X replica is for fault tolerance purpose.,For last quizI think C is the correct answer. 3X replica is for fault tolerance purpose.,for last quizi think c is the correct answer x replica is for fault tolerance purpose,"['last', 'quizi', 'think', 'c', 'correct', 'answer', 'x', 'replica', 'fault', 'tolerance', 'purpose']"
131,Thanks  a lot for this wonderful video...!!!!!,Thanks  a lot for this wonderful video...!!!!!,thanks a lot for this wonderful video,"['thank', 'lot', 'wonderful', 'video']"
132,The best video to explain hadoop in 5 min.,The best video to explain hadoop in 5 min.,the best video to explain hadoop in min,"['good', 'video', 'explain', 'hadoop', 'min']"
133,Amazing video. The advantage of the 3x replication schema in HDFS is fault torance.,Amazing video. The advantage of the 3x replication schema in HDFS is fault torance.,amazing video the advantage of the x replication schema in hdfs is fault torance,"['amazing', 'video', 'advantage', 'x', 'replication', 'schema', 'hdfs', 'fault', 'torance']"
134,great video!! the answer is c. I know the comment is too late but just commenting,great video!! the answer is c. I know the comment is too late but just commenting,great video the answer is c i know the comment is too late but just commenting,"['great', 'video', 'answer', 'c', 'know', 'comment', 'late', 'comment']"
135,"Thanks for making this really easy to understand. Keep making such videos !!!
Answer: (c) Ensures fault tolerance.","Thanks for making this really easy to understand. Keep making such videos !!!
Answer: (c) Ensures fault tolerance.",thanks for making this really easy to understand keep making such videos answer: c ensures fault tolerance,"['thank', 'make', 'really', 'easy', 'understand', 'keep', 'make', 'video', 'answer', ':', 'c', 'ensure', 'fault', 'tolerance']"
136,super explaination 👍👍🌟,super explaination  thumbs_up  thumbs_up  glowing_star ,super explaination thumbs_up thumbs_up glowing_star,"['super', 'explaination', 'thumbs_up', 'thumbs_up', 'glowing_star']"
137,Thank you for this,Thank you for this,thank you for this,['thank']
138,I understand now. Hadoop is bigger than dBase III+. nice and simple video. have a nice day.,I understand now. Hadoop is bigger than dBase III+. nice and simple video. have a nice day.,i understand now hadoop is bigger than dbase iii nice and simple video have a nice day,"['understand', 'hadoop', 'big', 'dbase', 'iii', 'nice', 'simple', 'video', 'nice', 'day']"
139,Great explanation,Great explanation,great explanation,"['great', 'explanation']"
140,"Hi,
Thanks for the video. 
The answer is C","Hi,
Thanks for the video. 
The answer is C",hi thanks for the video the answer is c,"['hi', 'thank', 'video', 'answer', 'c']"
141,This is great. Thank you.,This is great. Thank you.,this is great thank you,"['great', 'thank']"
142,Bhai kya batau kya samjhaya hai. Chummi ekdum <3,Bhai kya batau kya samjhaya hai. Chummi ekdum <3,bhai kya batau kya samjhaya hai chummi ekdum,"['bhai', 'kya', 'batau', 'kya', 'samjhaya', 'hai', 'chummi', 'ekdum']"
143,"The answer is C, which ensures fault tolerance! really help me in my course Advanace Database management Science  topic Big data,hadoop version1 and version 2","The answer is C, which ensures fault tolerance! really help me in my course Advanace Database management Science  topic Big data,hadoop version1 and version 2",the answer is c which ensures fault tolerance really help me in my course advanace database management science topic big datahadoop version and version,"['answer', 'c', 'ensure', 'fault', 'tolerance', 'really', 'help', 'course', 'advanace', 'database', 'management', 'science', 'topic', 'big', 'datahadoop', 'version', 'version']"
144,Very good explanation...,Very good explanation...,very good explanation,"['good', 'explanation']"
145,Thank you so much for this awesome video.,Thank you so much for this awesome video.,thank you so much for this awesome video,"['thank', 'much', 'awesome', 'video']"
146,Loved the content,Loved the content,loved the content,"['love', 'content']"
147,Awesome video. Thanks,Awesome video. Thanks,awesome video thanks,"['awesome', 'video', 'thank']"
148,Great explanation. Thank you.,Great explanation. Thank you.,great explanation thank you,"['great', 'explanation', 'thank']"
149,Congratulations on the video!,Congratulations on the video!,congratulations on the video,"['congratulation', 'video']"
150,GREAT CONTENT,GREAT CONTENT,great content,"['great', 'content']"
151,Thanks for sharing this video.,Thanks for sharing this video.,thanks for sharing this video,"['thank', 'share', 'video']"
152,Awesome explanation,Awesome explanation,awesome explanation,"['awesome', 'explanation']"
153,Nice explanation,Nice explanation,nice explanation,"['nice', 'explanation']"
154,Fantastic video,Fantastic video,fantastic video,"['fantastic', 'video']"
155,"Amazing video 👏🏻 productive 6 min video ,, keep up the good work 😊","Amazing video  clapping_hands_light_skin_tone  productive 6 min video ,, keep up the good work  smiling_face_with_smiling_eyes ",amazing video clapping_hands_light_skin_tone productive min video keep up the good work smiling_face_with_smiling_eyes,"['amazing', 'video', 'clapping_hands_light_skin_tone', 'productive', 'min', 'video', 'keep', 'good', 'work', 'smiling_face_with_smiling_eyes']"
156,Very nice introduction,Very nice introduction,very nice introduction,"['nice', 'introduction']"
157,thank you so much !!,thank you so much !!,thank you so much,"['thank', 'much']"
158,Thank you!,Thank you!,thank you,['thank']
159,amazing video sir,amazing video sir,amazing video sir,"['amazing', 'video', 'sir']"
160,Great. The correct answer is C) Ensures fault tolerance,Great. The correct answer is C) Ensures fault tolerance,great the correct answer is c ensures fault tolerance,"['great', 'correct', 'answer', 'c', 'ensure', 'fault', 'tolerance']"
161,Great! The answer is C.,Great! The answer is C.,great the answer is c,"['great', 'answer', 'c']"
162,very helpful video. thanks.,very helpful video. thanks.,very helpful video thanks,"['helpful', 'video', 'thank']"
163,Cool Explanation,Cool Explanation,cool explanation,"['cool', 'explanation']"
164,The advantage of 3x replication is to ensure fault tolerance in case of node crashing,The advantage of 3x replication is to ensure fault tolerance in case of node crashing,the advantage of x replication is to ensure fault tolerance in case of node crashing,"['advantage', 'x', 'replication', 'ensure', 'fault', 'tolerance', 'case', 'node', 'crash']"
165,Really nice video. The answer is C. Ensures Fault Tolerance.,Really nice video. The answer is C. Ensures Fault Tolerance.,really nice video the answer is c ensures fault tolerance,"['really', 'nice', 'video', 'answer', 'c', 'ensure', 'fault', 'tolerance']"
166,is for Fault Tolerance. tis vid is great.,is for Fault Tolerance. tis vid is great.,is for fault tolerance tis vid is great,"['fault', 'tolerance', 'tis', 'vid', 'great']"
167,Wonderful video..,Wonderful video..,wonderful video,"['wonderful', 'video']"
168,Thanks! Clear,Thanks! Clear,thanks clear,"['thank', 'clear']"
169,Extraordinary!,Extraordinary!,extraordinary,['extraordinary']
170,"Answer: c) fault tolerance 
Great video👍🏿👍🏿👍🏿","Answer: c) fault tolerance 
Great video thumbs_up_dark_skin_tone  thumbs_up_dark_skin_tone  thumbs_up_dark_skin_tone ",answer: c fault tolerance great video thumbs_up_dark_skin_tone thumbs_up_dark_skin_tone thumbs_up_dark_skin_tone,"['answer', ':', 'c', 'fault', 'tolerance', 'great', 'video', 'thumbs_up_dark_skin_tone', 'thumbs_up_dark_skin_tone', 'thumbs_up_dark_skin_tone']"
171,"thanks for the explanation.
the answer to the question is c - ensures fault tolerance","thanks for the explanation.
the answer to the question is c - ensures fault tolerance",thanks for the explanation the answer to the question is c ensures fault tolerance,"['thank', 'explanation', 'answer', 'question', 'c', 'ensure', 'fault', 'tolerance']"
172,Nice presentation.. Thank you..,Nice presentation.. Thank you..,nice presentation thank you,"['nice', 'presentation', 'thank']"
173,Nice explanation.. The answer is C - Ensure fault tollerens,Nice explanation.. The answer is C - Ensure fault tollerens,nice explanation the answer is c ensure fault tollerens,"['nice', 'explanation', 'answer', 'c', 'ensure', 'fault', 'tolleren']"
174,Thanks mate.,Thanks mate.,thanks mate,"['thank', 'mate']"
175,"Storage unit - Distributed System and maintains backup 
Mapreduce - Splits and process the data
YARN - Yet another resources negotiator
- Resource manager, node manager, application master","Storage unit - Distributed System and maintains backup 
Mapreduce - Splits and process the data
YARN - Yet another resources negotiator
- Resource manager, node manager, application master",storage unit distributed system and maintains backup mapreduce splits and process the data yarn yet another resources negotiator resource manager node manager application master,"['storage', 'unit', 'distribute', 'system', 'maintain', 'backup', 'mapreduce', 'split', 'process', 'datum', 'yarn', 'yet', 'another', 'resource', 'negotiator', 'resource', 'manager', 'node', 'manager', 'application', 'master']"
176,All answers is correct.,All answers is correct.,all answers is correct,"['answer', 'correct']"
177,Replications are done to C)  ensure fault tolerance.,Replications are done to C)  ensure fault tolerance.,replications are done to c ensure fault tolerance,"['replication', 'do', 'c', 'ensure', 'fault', 'tolerance']"
178,wonderful video for  beginners like me. Thanks a ton...I think the answer of the question is option c: ensure fault tolerance,wonderful video for  beginners like me. Thanks a ton...I think the answer of the question is option c: ensure fault tolerance,wonderful video for beginners like me thanks a toni think the answer of the question is option c: ensure fault tolerance,"['wonderful', 'video', 'beginner', 'like', 'thank', 'toni', 'think', 'answer', 'question', 'option', 'c', ':', 'ensure', 'fault', 'tolerance']"
179,well explained ...useful,well explained ...useful,well explained useful,"['well', 'explain', 'useful']"
180,best explanation!!! thanks a lot!,best explanation!!! thanks a lot!,best explanation thanks a lot,"['good', 'explanation', 'thank', 'lot']"
181,e) All of the above... but mainly c)ensures fault tolerance.,e) All of the above... but mainly c)ensures fault tolerance.,e all of the above but mainly censures fault tolerance,"['e', 'mainly', 'censure', 'fault', 'tolerance']"
182,Thanks a lot. 🎉🎉,Thanks a lot.  party_popper  party_popper ,thanks a lot party_popper party_popper,"['thank', 'lot', 'party_popper', 'party_popper']"
183,"Answer is Option (C)-Ensures Fault Tolerance.
It replicates data on 3 different nodes ,if any node crashes data can be retrieved from another node. I have one question- Since it replicates same data over 3 different nodes ,we required more storage space which comes with additional cost. Is there is any specific method which can be used to reduce this cost  ?","Answer is Option (C)-Ensures Fault Tolerance.
It replicates data on 3 different nodes ,if any node crashes data can be retrieved from another node. I have one question- Since it replicates same data over 3 different nodes ,we required more storage space which comes with additional cost. Is there is any specific method which can be used to reduce this cost  ?",answer is option censures fault tolerance it replicates data on different nodes if any node crashes data can be retrieved from another node i have one question since it replicates same data over different nodes we required more storage space which comes with additional cost is there is any specific method which can be used to reduce this cost,"['answer', 'option', 'censure', 'fault', 'tolerance', 'replicate', 'data', 'different', 'nodes', 'node', 'crash', 'datum', 'retrieve', 'another', 'node', 'one', 'question', 'since', 'replicate', 'data', 'different', 'node', 'require', 'storage', 'space', 'come', 'additional', 'cost', 'specific', 'method', 'use', 'reduce', 'cost']"
184,The answer is C which is to ensure fault tolerance.,The answer is C which is to ensure fault tolerance.,the answer is c which is to ensure fault tolerance,"['answer', 'c', 'ensure', 'fault', 'tolerance']"
185,"The answer is c), just as mentioned earlier in the video.
Also, the video is really helpful and brief, thx!","The answer is c), just as mentioned earlier in the video.
Also, the video is really helpful and brief, thx!",the answer is c just as mentioned earlier in the video also the video is really helpful and brief thx,"['answer', 'c', 'mention', 'early', 'video', 'also', 'video', 'really', 'helpful', 'brief', 'thx']"
186,"Advantage of the 3x replication schema in HDFS is  ""Ensure fault tolerance"".","Advantage of the 3x replication schema in HDFS is  ""Ensure fault tolerance"".",advantage of the x replication schema in hdfs is ensure fault tolerance,"['advantage', 'x', 'replication', 'schema', 'hdfs', 'ensure', 'fault', 'tolerance']"
187,nicely explained and cool diagrams . Thanks,nicely explained and cool diagrams . Thanks,nicely explained and cool diagrams thanks,"['nicely', 'explain', 'cool', 'diagram', 'thank']"
188,"Great Video, the answer to the quiz is C) Ensures fault tolerance.","Great Video, the answer to the quiz is C) Ensures fault tolerance.",great video the answer to the quiz is c ensures fault tolerance,"['great', 'video', 'answer', 'quiz', 'c', 'ensure', 'fault', 'tolerance']"
189,"Answer: C) Ensures fault tolerance
Great and really informative video!!!","Answer: C) Ensures fault tolerance
Great and really informative video!!!",answer: c ensures fault tolerance great and really informative video,"['answer', ':', 'c', 'ensure', 'fault', 'tolerance', 'great', 'really', 'informative', 'video']"
190,"I think I will prefer this kind of animation over the traditional slide show explanation , good work @simplilearn and will be looking forward for these kind of video's","I think I will prefer this kind of animation over the traditional slide show explanation , good work @simplilearn and will be looking forward for these kind of video's",i think i will prefer this kind of animation over the traditional slide show explanation good work simplilearn and will be looking forward for these kind of videos,"['think', 'prefer', 'kind', 'animation', 'traditional', 'slide', 'show', 'explanation', 'good', 'work', 'simplilearn', 'look', 'forward', 'kind', 'video']"
191,u saved me from 100 page ppts before exam,u saved me from 100 page ppts before exam,u saved me from page ppts before exam,"['u', 'save', 'page', 'ppt', 'exam']"
192,advantage of replication scheme in hadoop is that it ensures fault tolerance,advantage of replication scheme in hadoop is that it ensures fault tolerance,advantage of replication scheme in hadoop is that it ensures fault tolerance,"['advantage', 'replication', 'scheme', 'hadoop', 'ensure', 'fault', 'tolerance']"
193,Amazing good job,Amazing good job,amazing good job,"['amazing', 'good', 'job']"
194,awesome video,awesome video,awesome video,"['awesome', 'video']"
195,thanks for shairng,thanks for shairng,thanks for shairng,"['thank', 'shairng']"
196,"it should be option C. Ensures fault tolerance, cause if one goes down other replicas takes place.","it should be option C. Ensures fault tolerance, cause if one goes down other replicas takes place.",it should be option c ensures fault tolerance cause if one goes down other replicas takes place,"['option', 'c', 'ensure', 'fault', 'tolerance', 'cause', 'one', 'go', 'replicas', 'take', 'place']"
197,The advantage of the 3x replication schema in HDFS is Option C: to Ensure fault tolerance.,The advantage of the 3x replication schema in HDFS is Option C: to Ensure fault tolerance.,the advantage of the x replication schema in hdfs is option c: to ensure fault tolerance,"['advantage', 'x', 'replication', 'schema', 'hdfs', 'option', 'c', ':', 'ensure', 'fault', 'tolerance']"
198,The answer to the question is : Ensure fault tolerance. Thank you for the video it was very informative,The answer to the question is : Ensure fault tolerance. Thank you for the video it was very informative,the answer to the question is : ensure fault tolerance thank you for the video it was very informative,"['answer', 'question', ':', 'ensure', 'fault', 'tolerance', 'thank', 'video', 'informative']"
199,Just saved me a lot of stress going through all the slides from the academy. Amazing! tnxx,Just saved me a lot of stress going through all the slides from the academy. Amazing! tnxx,just saved me a lot of stress going through all the slides from the academy amazing tnxx,"['save', 'lot', 'stress', 'go', 'slide', 'academy', 'amazing', 'tnxx']"
200,The advantage of 3x replication is to ensure fault tolerance in case of node crashing,The advantage of 3x replication is to ensure fault tolerance in case of node crashing,the advantage of x replication is to ensure fault tolerance in case of node crashing,"['advantage', 'x', 'replication', 'ensure', 'fault', 'tolerance', 'case', 'node', 'crash']"
201,Option C) Ensures fault tolerance is correct,Option C) Ensures fault tolerance is correct,option c ensures fault tolerance is correct,"['option', 'c', 'ensure', 'fault', 'tolerance', 'correct']"
202,option C is the answer as to save data or replica of the schema which ensure fault tolerance,option C is the answer as to save data or replica of the schema which ensure fault tolerance,option c is the answer as to save data or replica of the schema which ensure fault tolerance,"['option', 'c', 'answer', 'save', 'data', 'replica', 'schema', 'ensure', 'fault', 'tolerance']"
203,very helpful,very helpful,very helpful,['helpful']
204,Thanks for the video!!!! Letter C- ensures fault tolerance...,Thanks for the video!!!! Letter C- ensures fault tolerance...,thanks for the video letter c ensures fault tolerance,"['thank', 'video', 'letter', 'c', 'ensure', 'fault', 'tolerance']"
205,"Awesome explanation.  I loved that , clearly explained all the parts.","Awesome explanation.  I loved that , clearly explained all the parts.",awesome explanation i loved that clearly explained all the parts,"['awesome', 'explanation', 'love', 'clearly', 'explain', 'part']"
